text,outcome
An image shows a traffic accident where the driver allegedly died from hypoxia from wearing the mask.,fake
The COVID-19 vaccine causes bad alergic reactions.,fake
"A photo of a young man with a swollen face. Allegedly, he was a volunteer for Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil",fake
"A Facebook post that claims that the COVID-19 is a â€œfraud,â€ because the mass media used the same photo of a portuguese boy in multiple stories about children who died from COVID-19.",fake
A photo of man with swollen face shows side effect of CoronaVac in Brazilian volunteer,fake
"Lemon, ginger and garlic cures coronavirus.",fake
"The truck depicting the god of death Anubis is aimed at testing and then infecting people, which eventually ends with human microchipping.",fake
An image that casts doubt on the tools used in rapid tests for coronavirus.,fake
"A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region",fake
"Spanish Prime Minister, Pedro SÃ¡nchez, said this Monday, July 27 in an interview for â€˜Informativos Telecincoâ€™ that [min. 1:19] â€œin most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist [â€¦] on the average also for the United Kingdomâ€.",fake
The COVID-19 vaccine causes bad alergic reactions.,fake
Video of a doctor at a press conference who said: Hydroxychloroquine is a cure for COVID-19. He also said that masks are not necessary.,fake
A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures COVID-19.,fake
A post claimed that photos of a man in a gold mask are of a religious leader who â€œasked his congregation for a gold mask because God revealed it to him in a dream.â€,fake
"Brazilian regulatory agency Anvisa labeled ivermectin a controled substance, because itâ€™s cheap and helps save lives.",fake
The border between France and Belgium will be closed,fake
Thereâ€™s chloroquine and ivermectine on lemon and orange peels,fake
Brazilian CoronaVac volunteer reported body pain and fever after vaccination.,fake
Doctors cannon lose their professional license for refusing to prescribe hydroxychloroquine.,fake
"Multiple posts shared hundreds of times on Facebook and Twitter claim that four Ukrainian soldiers died after participating in American COVID-19 vaccine trials in the northeastern Ukrainian city of Kharkiv. The claim, published in several languages across different posts, was attributed to a police spokesperson in the self-proclaimed Lugansk Peopleâ€™s Republic.",fake
Lawsuits filed against Fauci and Gates for creating and artificially disseminating the virus,fake
A post claims to show three medications to prevent coronavirus.,fake
A post from the Russian Virology Center that recommends an alkaline diet to fight coronavirus.,fake
Thereâ€™s chloroquine and ivermectine on lemon and orange peels,fake
Masks pores are too large to block virus,fake
"A Facebook post claiming that the Italian minister for Education Lucia Azzolina wants to buy school desks at â‚¬300, while itâ€™s possible to find the same product online at â‚¬30.",fake
The President of Ghana revealed that the coronavirus was created in a laboratory.,fake
Masks Can Be Sanitized In Microwave,fake
The border between France and Belgium will be closed,fake
The nasal swab test for COVID-19 damages the â€œblood-brain barrierâ€ and can therefore lead to brain infections.,fake
The World Health Organization announced that SARS-CoV-2 can stay in the air for eight hours.,fake
"Multiple posts shared tens of thousands of times on Facebook and Twitter claim that a woman contracted pleurisy, a lung inflammation condition, after wearing a face mask for an extended period of time. According to the posts, the unidentified woman caught the disease because she was breathing in carbon dioxide and her own bacteria.",fake
Pictures of a flooded NMCH hospital in Patna,fake
COVID-19 Means â€˜See A Sheep Surrenderâ€™ In Latin,fake
"Publications that state that â€œthe new vaccine contains digitizable â€˜RNAâ€™â€, an alleged â€œreplicant that is activated by 5Gâ€ and that is why â€œthe virus can be reactivated after the patient recoversâ€",fake
A ship carrying Honduran mobile hospitals caught fire,fake
Oxford Universityâ€™s vaccine is made using the cells of aborted fetuses.,fake
"The Governor of Jujuy (Argentina), Gerardo Morales: â€œIn the Metropolitan Area [of Buenos Aires] 20% of those infected are health personnelâ€",fake
"A post uses an image of an â€œundocumented Nicaraguanâ€ and claims he tested positive for COVID-19, and is â€œspitting on doorsâ€",fake
A video stating that in Brazil hospitals receive â‚¬3.000 for each Covid-19-related death.,fake
A photo claiming to show Jair Bolsonaro hospitalized for coronavirus.,fake
The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used.,fake
"A general treatment for the new coronavirus includes antibiotics, anti-inflammatories and corticosteroids.",fake
Cubaâ€™s low number of COVID-19 deaths is due to its use of hydroxychloroquine to treat patients,fake
BoyacÃ¡ scientist says he can cure patients with COVID-19 through biology.,fake
The active ingredients in chloroquine and ivermectin are also found in lemon and orange peels.,fake
A photo claims to show a prescription list of medications to treat coronavirus at home.,fake
"A randomized, double-blind study by Henry Ford Health System proved that hydroxychloroquine is effective against COVID-19",fake
"A viral video where an interview from the Tierra Pura portal is disseminated to the doctor Mariana Colombres Garmendia, who denounces the overregistration of the numbers of people infected and killed by the COVID-19 disease in Argentina, and says that the Buenos Aires government pays the doctors or institutions for doing so for the alleged purpose of extending the quarantine",fake
"A general treatment for the new coronavirus includes antibiotics, anti-inflammatories and corticosteroids.",fake
Oxford Universityâ€™s vaccine is made using the cells of aborted fetuses.,fake
"A post uses an image of an â€œundocumented Nicaraguanâ€ and claims he tested positive for COVID-19, and is â€œspitting on doorsâ€",fake
The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used.,fake
"It s good to catch COVID-19 in the summer, as it is less aggressive",fake
The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida.,fake
5G generates the coronavirus SARS-CoV-2 in human skin cells.,fake
The picture shown in the post is of Dr Sundar Tolani who died due to coronavirus,fake
"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.",fake
COVID-19 Means â€˜See A Sheep Surrenderâ€™ In Latin,fake
A Facebook video claims that a new oral spray â€œdeactivates 98% of the coronavirusâ€ in the mouth. This effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the SARS-CoV-2 virus.,fake
Viral pictures show organ trafficking of COVID-19 patients dead bodies.,fake
The president of Ghana said that the coronavirus was created in a laboratory,fake
"The World Health Organization suspended production of an American COVID-19 vaccine, and promoted the Chinese version.",fake
The COVID-19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University.,fake
"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.",fake
The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida.,fake
The picture shown in the post is of Dr Sundar Tolani who died due to coronavirus,fake
A claim that facemasks restrict breathing and cause hypoxia.,fake
Ivermectin cures the new coronavirus.,fake
"Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil, is made with aborted fetus cells",fake
COVID-19 Means â€˜See A Sheep Surrenderâ€™ In Latin,fake
"Video shows that the first volunteer to be vaccinated with CoronaVac, a vaccine produced by chinese Sinovac Biotech, didnâ€™t have the arm punctured, which proves that the drug is a scam.",fake
"Chlorine, bleach, or corrosive should be flushed down the toilet to prevent expansion of the coronavirus",fake
The COVID-19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University.,fake
"A video shows a candidate in the upcoming New Zealand elections claiming that the countryâ€™s prime minister, Jacinda Ardern, authorised the military to enter private residences in order to enforce COVID-19 quarantine measures. It has been viewed tens of thousands of times in multiple posts on Facebook in July 2020.",fake
"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.",fake
RNA-based COVID-19 vaccines can turn humans into genetically modified organisms.,fake
A post claims the COVID-19 swab test can cause brain inflamation.,fake
The EPS tested less than 5% of the inhabitants of CÃ³rdoba for COVID-19,fake
A video shows the execution of a journalist who denounced wasteful spending in city hallâ€™s work to combat COVID-19 in the Brazilian state of ParÃ¡,fake
RNA-based COVID-19 vaccines can turn humans into genetically modified organisms.,fake
"According to the Brazilian Civil Registry, there were more deaths in 2019 than in 2020, considering the first semester only.",fake
"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.",fake
A post that has a list of recommendations to prevent and treat the new coronavirus.,fake
A post claims the COVID-19 swab test can cause brain inflamation.,fake
"A video that supposedly shows medical staff protesting because the pandemic is a â€œfraudâ€, something not real.",fake
"The Brazilian federal government dismissed 396,000 civil servants who received fraudulent COVID-19 emergency assistance.",fake
A post shared thousands of times on Facebook claims the novel coronavirus does not affect people who are very fit or thin.,fake
Masks can be sanitized in microwave,fake
"The first person to received a Chinese COVID-19 vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on.",fake
"Non-contact thermometers emit infrared rays, which damage the pineal gland just behind the forehead.",fake
An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,fake
A post that shows a doctor from Santiago del Estero (Argentina) who is fighting against the coronavirus.,fake
"Drinking water boiled with turmeric powder, ginger, carom seeds and coriander seeds can cure COVID-19.",fake
An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,fake
The government has ordered re-opening of schools and colleges.,fake
"A chain indicating that a newborn named MartÃ­n Sosa is admitted to the Childrenâ€™s Hospital (CABA, Argentina).",fake
Authorities discreetly re-authorised hydroxychloroquine for COVID-19,fake
A post that indicates that Spanish doctors say that face masks donâ€™t work outdoors.,fake
"Supporters of ABS-CBN, including actor Gerald Anderson, gathered together and violated quarantine rules by not wearing face masks during the COVID-19 pandemic.",fake
Brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,fake
"A post shared more than a thousand times on Facebook claims that a corpse of a COVID-19 positive person is 100 times more â€œtoxicâ€ 72 hours after death â€” and that because undertakers are not burying bodies within this prescribed period, funerals have become hotspots for further infections.",fake
"Comedian Michael V, also known as â€œBitoy,â€ died after contracting the new coronavirus.",fake
"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",fake
"A student for Pondicherry University found a home remedy cure for COVID-19 which was accepted by WHO. Mixing black pepper powder, ginger and honey and consuming it for 5 days will cure the person of the new coronavirus.",fake
"The Federal Government fired 396 thousand public servants who received, illegally, the emergency COVID-19 allowance.",fake
Authorities decided to close the French-Spanish border,fake
Inhaling eucalyptus prevents or eliminates the new coronavirus,fake
Ghanaâ€™s president backs conspiracy theories about COVID-19.,fake
"Uruguay gave 55,000 doses of medecine for Brazil to fight COVID-19.",fake
"An audio that denounces the falsification of death certificates at the Hospital de ClÃ­nicas (CABA, Argentina) to increase deaths from coronavirus.",fake
Authorities decided to close the French-Spanish border,fake
Brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,fake
"All those who registered for the governmentâ€™s emergency subsidy program (ESP) via the ReliefAgad app will have to claim their cash aid via GCash, regardless of the payout method they selected in the app.",fake
The government has ordered re-opening of schools and colleges.,fake
"A post shared more than a thousand times on Facebook claims that a corpse of a COVID-19 positive person is 100 times more â€œtoxicâ€ 72 hours after death â€” and that because undertakers are not burying bodies within this prescribed period, funerals have become hotspots for further infections.",fake
"Comedian Michael V, also known as â€œBitoy,â€ died after contracting the new coronavirus.",fake
"Gasoline or diesel can be used to disinfect surfaces and hands to kill the SARS-CoV-2 virus, which causes COVID-19.",fake
Authorities discreetly re-authorised hydroxychloroquine for COVID-19,fake
"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",fake
"The video of a huge crowd not maintaining social distancing is from All India Institute of Medical Science (AIIMS), Patna (a city in the state of Bihar).",fake
Raisin prevents clotting thus helps to fight COVID19,fake
"An ordinance that punishes minors and their parents for violating quarantine rules took effect on Monday, July 20.",fake
"A claim has been shared repeatedly in multiple posts on Facebook, Instagram and other websites in July 2020 that top medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause â€œsevere health issuesâ€.",fake
"Ivermectin has had good results in the COVID-19 treatment in Bolivia, the Dominican Republic, New Zealand, Australia, and African countries.",fake
"A claim has been shared repeatedly in multiple posts on Facebook, Instagram and other websites in July 2020 that top medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause â€œsevere health issuesâ€.",fake
"Multiple Facebook posts shared tens of thousands of times claim the novel coronavirus, which causes the disease COVID-19, has infected far fewer people than the H1N1 virus, or swine flu, but â€œmedia hysteriaâ€ has prompted an overblown response.",fake
"A viral message that says that â€œthose over 60 years of ageâ€ can get from pharmacies â€œa pack of three masks per month (â€¦) from Wednesday 29 July.â€ The text is shared as coming from the Spanish regions of Andalusia, Catalonia, Castilla y LeÃ³n, the Valencian Community or the Basque Country.",fake
Nokia distributing free phones to students amidst coronavirus pandemic,fake
A graph that correlates greater vaccination against influenza in those over 65 years of age and a higher mortality rate compared to COVID-19.,fake
"The video of a huge crowd not maintaining social distancing is from All India Institute of Medical Science (AIIMS), Patna (a city in the state of Bihar).",fake
Raisin prevents clotting thus helps to fight COVID19,fake
French doctors protest after discovering COVID-19 pandemic is a fraud.,fake
"A picture showing the Italian Prime Minister Giuseppe Conte, the French President Emmanuel Macron and the German Chancellor Angela Merkel having a drink together, with no masks and not respecting social distancing measures.",fake
"A person who visited Badusha Hypermarket, Perambra was found COVID-19 positive and hence all those who have visited the hypermarket on 16th July 2020 are asked to report to Perambra Taluk Hospital.",fake
"Obama, Dr. Fauci visited Wuhan lab in 2015",fake
Neem tea is the â€˜solutionâ€™ for COVID-19,fake
Covid 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,fake
"A publication that claims that in 1918 the American city of Philadelphia â€œprematurely ended its quarantine of the Spanish flu and launched a demonstration against the measures of staying at homeâ€, which led to a peak of infections, hospitalizations and deaths.",fake
Covid 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,fake
A picture of the coronavirus-infected patientâ€™s throat.,fake
An image in which two people turn their backs to the State ceremony that took place this July 16 in honor of the victims of COVID-19. He moves with a message that they are members of Podemos who turned around while King Felipe VI spoke.,fake
"A car blew up in BelÃ©m, Brazil, because the driver cleaned his key with alcohol-based hand sanitizer.",fake
COVID-19 asymptomatic carriers transmit antibodies to other people.,fake
WHO changed its directives: No need to isolate infected people.,fake
A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to COVID-19.,fake
There is no evidence that Mentholatum and eucalyptus prevent the development of COVID-19 in the human body.,fake
Podemos politicians turned around at the state ceremony for COVID-19 victims,fake
"Porto Feliz, a Brazilian city in the state of SÃ£o Paulo, doesnâ€™t register deaths from COVID-19 since it adopted a treatment protocol with chloroquine.",fake
"The governor of Bahia, Rui Costa, determined that all hydroxychloroquine tablets were confiscated from pharmacies around the state.",fake
"A quote by doctor Alberto Zangrillo, saying that Covid-19 is a consequence of immigration.",fake
For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,fake
"The â€œMozhemeâ€ coalition is connected to the newly infected COVID-19 patients, although it has nothing to do with this issue.",fake
A map of Sri Lanka was shared with certain cities highlighted as the places visited by close contacts of Kandakadu COVID19 cluster,fake
A map of Sri Lanka was shared with certain cities highlighted as the places visited by close contacts of Kandakadu COVID19 cluster,fake
For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,fake
A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to COVID-19.,fake
A picture of the coronavirus-infected patientâ€™s throat.,fake
Facebook posts shared thousands of times claim that the US Federal Emergency Management Agency (FEMA) is offering hazard pay compensation to individuals who worked during the novel coronavirus pandemic.,fake
Doctors can steal your fingerprints or data with the pulse oximeter,fake
Extensive mask wearing weakens the immune system because you canâ€™t breathe properly through them,fake
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,fake
Singaporeâ€™s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,fake
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of coronavirus.,fake
The city of Manizales estimated its cycloband during COVID-19 greatly reduced greenhouse gas emmissions.,fake
French Prime Minister and Health Minister were expelled from the government after banning chloroquine in the country.,fake
Chinese scientists have publicly stated that the coronavirus is lab-made,fake
"A video with text that claims to offer information about the coronavirus that â€œcomes from the Japanese Ministry of Health.â€ It claims that when the first symptoms of the infection appear, the lungs already show 50% fibrosis.",fake
PCR tests damage hemato encephalic barrier,fake
COVID-19 hospital flooded in Bihar,fake
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of coronavirus.,fake
PCR tests damage hemato encephalic barrier,fake
5G technology creates coronavirus in human cells,fake
Singaporeâ€™s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,fake
Extensive mask wearing weakens the immune system because you canâ€™t breathe properly through them,fake
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,fake
A supposed doctor recommends in a video inhaling â€œantiseptic alcoholâ€ to â€œfight the new coronavirusâ€,fake
A video of a man attacking a cashier at a McDonaldâ€™s restaurant has been viewed thousands of times in multiple posts on Facebook alongside a claim it happened in Singapore.,fake
The private health system began offering antibody tests to detect COVID-19. At the same time that the Ministry of Health said it would buy antigen tests.,fake
A video claims Italy discovered that COVID-19 is bacteria not a virus,fake
Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,fake
"Anthony Fauci is married to the sister of Ghislaine Maxwell, who was arrested in the U.S on charges of human trafficking.",fake
The swabs used in COVID-19 RT-PCR testes can damage your blood-brain barrier.,fake
